,Unnamed: 0,price,rooms,area,kitchen_area,floor,renovation,deal_type,balcony,trash_chute,Год постройки,Серия дома,Количество этажей,Лифт,Тип перекрытий,Тип фундамента,Горячее водоснабжение,Количество балконов,Количество квартир,Холодное водоснабжение,Теплоснабжение,Водоотведение,Количество подъездов,Жилая,years_in_ownership,number_of_owners,energy_efficiency_class,power_supply,number_of_elevators,ventilation,freight_elevator,gas_supply,latitude,longitude,wall_material_Блочный,wall_material_Железобетон,wall_material_Кирпично-монолитный,wall_material_Кирпичный,wall_material_Монолитно-кирпичный,wall_material_Монолитный,wall_material_Панельный,wall_material_Смешанные
109,109,7700000,3.0,63.2,10.0,1.0,1,0,0,0.0,1938.0,,2.0,,Деревянный,Сплошной,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,Центральное,,,,,43.16250665,131.9262018004867,False,False,False,False,False,False,True,False
110,110,6800000,2.0,43.0,,3.0,1,1,0,0.0,1973.0,II-34,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,,,,,,,,,False,False,False,True,False,False,False,False
111,111,5150000,1.0,30.7,5.0,4.0,1,1,1,,1963.0,,5.0,,Железобетонный,Ленточный,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,,,,,,D,,,,,,43.1653868,131.91956112701487,False,False,False,False,False,False,True,False
112,112,5950000,2.0,24.2,5.0,9.0,1,1,0,1.0,1968.0,v-кирпичный,9.0,1.0,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,1.0,,,,,,,,,,,,,,,43.09390695,131.9079955869612,False,False,False,True,False,False,False,False
113,113,11800000,2.0,53.3,25.1,1.0,1,0,0,0.0,2019.0,,24.0,,Железобетонный,,Центральное,,,,,,,,,,,,,,,,43.1203675,131.93121880348838,False,False,False,False,False,True,False,False
114,114,13200000,2.0,53.8,8.0,2.0,0,0,0,1.0,2020.0,,25.0,1.0,Железобетонный,,Центральное,,266.0,,,,,,,,,,,,,,43.0985309,131.8985805,False,False,False,False,False,True,False,False
115,115,5000000,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,43.2329241,132.01266342072051,False,False,False,False,False,False,False,False
116,116,11650000,2.0,54.9,8.0,6.0,1,1,1,,2021.0,,24.0,,Железобетонный,,Центральное,1.0,240.0,,,,,,,,,,,,,,43.0751226,131.9620425,False,False,False,True,False,False,False,False
117,117,6500000,,,,,0,0,1,1.0,1981.0,,12.0,1.0,Железобетонный,Иной,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,,,,,,,,,,,,,43.0920712,131.96195710297928,False,False,False,False,False,False,True,False
118,118,7000000,2.0,53.7,,4.0,0,0,0,1.0,1976.0,,6.0,,Железобетонный,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,1.0,,Центральное,Центральное,Центральное,,,,,,Центральное,,,,,43.1129966,131.9337469,False,False,False,True,False,False,False,False
119,119,7200000,1.0,39.7,11.7,2.0,1,1,1,1.0,2013.0,,16.0,1.0,Железобетонный,Ленточный,Закрытая с приготовлением горячей воды на ЦТП,,,Центральное,,,,20 м2,Больше пяти,,,,,,,,,,False,False,False,False,False,True,False,False
